Record Length,Analog:100000
Sample Interval,CH1:5.000000E-10
Vertical Units,CH1:V
Vertical Scale,CH1:+5.000000E-01
Vertical Offset,CH1:-9.666667E-01
Horizontal Units,s
Horizontal Scale,+5.000000E-06
Model Number,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Source,CH1
Second,Value
-2.485350E-05,-3.333336E-02
-2.485300E-05,-3.333336E-02
-2.485250E-05,-3.333336E-02
-2.485200E-05,-3.333336E-02
-2.485150E-05,-1.666677E-02
-2.485100E-05,-3.333336E-02
-2.485050E-05,-3.333336E-02
-2.485000E-05,-3.333336E-02
-2.484950E-05,-3.333336E-02
-2.484900E-05,-3.333336E-02
-2.484850E-05,-3.333336E-02
-2.484800E-05,-3.333336E-02
-2.484750E-05,-3.333336E-02
-2.484700E-05,-3.333336E-02
-2.484650E-05,-3.333336E-02
-2.484600E-05,-3.333336E-02
-2.484550E-05,-3.333336E-02
-2.484500E-05,-3.333336E-02
-2.484450E-05,-3.333336E-02
-2.484400E-05,-5.000013E-02
-2.484350E-05,-3.333336E-02
-2.484300E-05,-3.333336E-02
-2.484250E-05,-3.333336E-02
-2.484200E-05,-3.333336E-02
-2.484150E-05,-1.666677E-02
-2.484100E-05,-3.333336E-02
-2.484050E-05,-3.333336E-02
-2.484000E-05,-3.333336E-02
-2.483950E-05,-1.666677E-02
-2.483900E-05,-3.333336E-02
-2.483850E-05,-3.333336E-02
-2.483800E-05,-3.333336E-02
-2.483750E-05,-1.666677E-02
-2.483700E-05,-3.333336E-02
-2.483650E-05,-3.333336E-02
-2.483600E-05,-3.333336E-02
-2.483550E-05,-1.666677E-02
-2.483500E-05,-3.333336E-02
-2.483450E-05,-3.333336E-02
-2.483400E-05,-3.333336E-02
-2.483350E-05,-3.333336E-02
-2.483300E-05,-3.333336E-02
-2.483250E-05,-3.333336E-02
-2.483200E-05,-3.333336E-02
-2.483150E-05,-3.333336E-02
-2.483100E-05,-3.333336E-02
-2.483050E-05,-3.333336E-02
-2.483000E-05,-3.333336E-02
-2.482950E-05,-3.333336E-02
-2.482900E-05,-3.333336E-02
-2.482850E-05,-3.333336E-02
-2.482800E-05,-3.333336E-02
-2.482750E-05,-3.333336E-02
-2.482700E-05,-3.333336E-02
-2.482650E-05,-3.333336E-02
-2.482600E-05,-3.333336E-02
-2.482550E-05,-1.666677E-02
-2.482500E-05,-3.333336E-02
-2.482450E-05,-3.333336E-02
-2.482400E-05,-3.333336E-02
-2.482350E-05,-1.666677E-02
-2.482300E-05,-3.333336E-02
-2.482250E-05,-3.333336E-02
-2.482200E-05,-3.333336E-02
-2.482150E-05,-1.666677E-02
-2.482100E-05,-3.333336E-02
-2.482050E-05,-3.333336E-02
-2.482000E-05,-3.333336E-02
-2.481950E-05,-1.666677E-02
-2.481900E-05,-3.333336E-02
-2.481850E-05,-3.333336E-02
-2.481800E-05,-3.333336E-02
-2.481750E-05,-1.666677E-02
-2.481700E-05,-3.333336E-02
-2.481650E-05,-3.333336E-02
-2.481600E-05,-3.333336E-02
-2.481550E-05,-3.333336E-02
-2.481500E-05,-3.333336E-02
-2.481450E-05,-3.333336E-02
-2.481400E-05,-3.333336E-02
-2.481350E-05,-3.333336E-02
-2.481300E-05,-3.333336E-02
-2.481250E-05,-3.333336E-02
-2.481200E-05,-3.333336E-02
-2.481150E-05,-3.333336E-02
-2.481100E-05,-3.333336E-02
-2.481050E-05,-3.333336E-02
-2.481000E-05,-3.333336E-02
-2.480950E-05,-1.666677E-02
-2.480900E-05,-3.333336E-02
-2.480850E-05,-3.333336E-02
-2.480800E-05,-3.333336E-02
-2.480750E-05,-3.333336E-02
-2.480700E-05,-3.333336E-02
-2.480650E-05,-3.333336E-02
-2.480600E-05,-3.333336E-02
-2.480550E-05,-3.333336E-02
-2.480500E-05,-3.333336E-02
-2.480450E-05,-3.333336E-02
-2.480400E-05,-3.333336E-02
-2.480350E-05,-1.666677E-02
-2.480300E-05,-3.333336E-02
-2.480250E-05,-3.333336E-02
-2.480200E-05,-3.333336E-02
-2.480150E-05,-3.333336E-02
-2.480100E-05,-3.333336E-02
-2.480050E-05,-3.333336E-02
-2.480000E-05,-3.333336E-02
-2.479950E-05,-3.333336E-02
-2.479900E-05,-3.333336E-02
-2.479850E-05,-3.333336E-02
-2.479800E-05,-3.333336E-02
-2.479750E-05,-1.666677E-02
-2.479700E-05,-3.333336E-02
-2.479650E-05,-3.333336E-02
-2.479600E-05,-3.333336E-02
-2.479550E-05,-3.333336E-02
-2.479500E-05,-3.333336E-02
-2.479450E-05,-3.333336E-02
-2.479400E-05,-3.333336E-02
-2.479350E-05,-3.333336E-02
-2.479300E-05,-5.000013E-02
-2.479250E-05,-3.333336E-02
-2.479200E-05,-5.000013E-02
-2.479150E-05,-3.333336E-02
-2.479100E-05,-3.333336E-02
-2.479050E-05,-3.333336E-02
-2.479000E-05,-3.333336E-02
-2.478950E-05,-3.333336E-02
-2.478900E-05,-3.333336E-02
-2.478850E-05,-3.333336E-02
-2.478800E-05,-3.333336E-02
-2.478750E-05,-3.333336E-02
-2.478700E-05,-3.333336E-02
-2.478650E-05,-3.333336E-02
-2.478600E-05,-3.333336E-02
-2.478550E-05,-3.333336E-02
-2.478500E-05,-3.333336E-02
-2.478450E-05,-3.333336E-02
-2.478400E-05,-3.333336E-02
-2.478350E-05,-3.333336E-02
-2.478300E-05,-3.333336E-02
-2.478250E-05,-3.333336E-02
-2.478200E-05,-3.333336E-02
-2.478150E-05,-3.333336E-02
-2.478100E-05,-3.333336E-02
-2.478050E-05,-3.333336E-02
-2.478000E-05,-3.333336E-02
-2.477950E-05,-1.666677E-02
-2.477900E-05,-1.666677E-02
