Record Length,Analog:10000
Sample Interval,CH1:5.000000E-10
Vertical Units,CH1:V
Vertical Scale,CH1:+2.950000E-01
Vertical Offset,CH1:+0.000000E+00
Horizontal Units,s
Horizontal Scale,+5.000000E-07
Model Number,T3DSO2204A
Serial Number,T0101C20460682
Software Version,5.0.1.3.7R5
Source,CH1
Second,Value
-2.165000E-06,-9.341667E-01
-2.164500E-06,-9.341667E-01
-2.164000E-06,-9.243333E-01
-2.163500E-06,-9.341667E-01
-2.163000E-06,-9.341667E-01
-2.162500E-06,-9.341667E-01
-2.162000E-06,-9.243333E-01
-2.161500E-06,-9.341667E-01
-2.161000E-06,-9.341667E-01
-2.160500E-06,-9.440000E-01
-2.160000E-06,-9.243333E-01
-2.159500E-06,-9.341667E-01
-2.159000E-06,-9.341667E-01
-2.158500E-06,-9.440000E-01
-2.158000E-06,-9.341667E-01
-2.157500E-06,-9.341667E-01
-2.157000E-06,-9.341667E-01
-2.156500E-06,-9.341667E-01
-2.156000E-06,-9.341667E-01
-2.155500E-06,-9.341667E-01
-2.155000E-06,-9.341667E-01
-2.154500E-06,-9.341667E-01
-2.154000E-06,-9.243333E-01
-2.153500E-06,-9.341667E-01
-2.153000E-06,-9.341667E-01
-2.152500E-06,-9.341667E-01
-2.152000E-06,-9.243333E-01
-2.151500E-06,-9.341667E-01
-2.151000E-06,-9.341667E-01
-2.150500E-06,-9.341667E-01
-2.150000E-06,-9.243333E-01
-2.149500E-06,-9.341667E-01
-2.149000E-06,-9.341667E-01
-2.148500E-06,-9.341667E-01
-2.148000E-06,-9.341667E-01
-2.147500E-06,-9.440000E-01
-2.147000E-06,-9.341667E-01
-2.146500E-06,-9.440000E-01
-2.146000E-06,-9.341667E-01
-2.145500E-06,-9.440000E-01
-2.145000E-06,-9.341667E-01
-2.144500E-06,-9.440000E-01
-2.144000E-06,-9.341667E-01
-2.143500E-06,-9.440000E-01
-2.143000E-06,-9.341667E-01
-2.142500E-06,-9.440000E-01
-2.142000E-06,-9.341667E-01
-2.141500E-06,-9.440000E-01
-2.141000E-06,-9.341667E-01
-2.140500E-06,-9.440000E-01
-2.140000E-06,-9.341667E-01
-2.139500E-06,-9.440000E-01
-2.139000E-06,-9.341667E-01
-2.138500E-06,-9.440000E-01
-2.138000E-06,-9.341667E-01
-2.137500E-06,-9.440000E-01
-2.137000E-06,-9.341667E-01
-2.136500E-06,-9.440000E-01
-2.136000E-06,-9.341667E-01
-2.135500E-06,-9.440000E-01
-2.135000E-06,-9.341667E-01
-2.134500E-06,-9.440000E-01
-2.134000E-06,-9.341667E-01
-2.133500E-06,-9.341667E-01
-2.133000E-06,-9.341667E-01
-2.132500E-06,-9.440000E-01
-2.132000E-06,-9.341667E-01
-2.131500E-06,-9.341667E-01
-2.131000E-06,-9.341667E-01
-2.130500E-06,-9.440000E-01
-2.130000E-06,-9.341667E-01
-2.129500E-06,-9.440000E-01
-2.129000E-06,-9.440000E-01
-2.128500E-06,-9.440000E-01
-2.128000E-06,-9.341667E-01
-2.127500E-06,-9.440000E-01
-2.127000E-06,-9.341667E-01
-2.126500E-06,-9.440000E-01
-2.126000E-06,-9.341667E-01
